model,fold,test_pid,group_overlap,dup_rows,train_acc_leaky,test_acc_leaky,gap_leaky,train_acc_clean,test_acc_clean,gap_clean,leak_gain_test
SVM,1,1,0,0,0.9066235930780469,0.635,0.27162359307804684,0.9595773575587975,0.6369444444444444,0.32263291311435305,-0.0019444444444444153
SVM,2,2,0,0,0.9224449240368384,0.49875,0.4236949240368384,0.9605333447295883,0.7495138888888889,0.21101945584069937,-0.2507638888888889
SVM,3,3,0,0,0.8740817712298607,0.831574074074074,0.04250769715578673,0.890409267680405,0.9363888888888889,-0.04597962120848398,-0.10481481481481492
SVM,4,4,0,0,0.8859030021193852,0.7868518518518518,0.09905115026753342,0.8851931109693615,0.9966666666666667,-0.11147355569730522,-0.2098148148148149
SVM,5,5,0,0,0.893432190549304,0.9721111111111111,-0.07867892056180714,0.8976949029273319,0.9724444444444444,-0.07474954151711255,-0.0003333333333332966
SVM,6,6,0,0,0.8940129530826134,0.8777626867514507,0.016250266331162666,0.8970360063664301,0.44351154463514014,0.45352446173128996,0.4342511421163106
SVM,7,7,0,0,0.8883893985728848,0.9096787229743383,-0.02128932440145348,0.9640570846075434,0.9256415437462113,0.03841554086133203,-0.015962820771873054
SVM,8,8,0,0,0.8885298375094294,0.6497979797979798,0.23873185771144956,0.8885298375094294,0.6497979797979798,0.23873185771144956,0.0
SVM,9,9,0,0,0.9519969826092275,0.018383838383838384,0.9336131442253891,0.9548104956268222,0.02181818181818182,0.9329923138086403,-0.0034343434343434356
SVM,10,10,0,0,0.8927062044881843,0.7980555555555555,0.09465064893262876,0.8975376495565388,0.8804166666666666,0.017120982889872183,-0.08236111111111111
SVM,11,11,0,0,0.911634274829608,0.3805027079572282,0.5311315668723798,0.897526712104527,0.8709901402582975,0.026536571846229484,-0.4904874323010693
RF,1,1,0,0,0.9993621267927324,0.3411111111111111,0.6582510156816213,0.9993106854050495,0.7616666666666667,0.2376440187383828,-0.4205555555555556
RF,2,2,0,0,0.9990384409923289,0.33625,0.6627884409923288,0.9990811769482254,0.7495138888888889,0.24956728805933648,-0.41326388888888893
RF,3,3,0,0,0.9990740550217083,0.8333333333333334,0.16574072168837495,0.9993312619601227,0.7967592592592593,0.2025720027008634,0.03657407407407409
RF,4,4,0,0,0.9989711722463425,0.9978703703703704,0.0011008018759720573,0.9992180909072204,0.9997222222222222,-0.0005041313150018212,-0.0018518518518517713
RF,5,5,0,0,0.9989797773692398,0.9371111111111111,0.0618686662581287,0.9992020040808905,0.9371111111111111,0.06209089296977943,0.0
RF,6,6,0,0,0.9990490395299252,0.9843190517347821,0.014729987795143118,0.9992192114035175,0.4443758488702309,0.5548433625332867,0.5399432028645512
RF,7,7,0,0,0.9990927624872579,0.9271570014144271,0.07193576107283073,0.9991335372069317,0.9063447161042635,0.09278882110266817,0.02081228531016366
RF,8,8,0,0,0.999000999000999,0.9377777777777778,0.061223221223221214,0.999000999000999,0.9377777777777778,0.061223221223221214,0.0
RF,9,9,0,0,0.9990519684397235,0.00020202020202020202,0.9988499482377033,0.9992966217456013,0.0021212121212121214,0.9971754096243892,-0.0019191919191919194
RF,10,10,0,0,0.9989880751602215,0.9011111111111111,0.0978769640491104,0.9993253834401477,0.9986111111111111,0.000714272329036536,-0.09750000000000003
RF,11,11,0,0,0.9991071162832227,0.3821691431745591,0.6169379731086636,0.9993154558171374,0.8744618802944035,0.1248535755227339,-0.49229273711984445
XGBoost,1,1,0,0,0.9999691351673903,0.38916666666666666,0.6108024685007236,0.9999588468898537,0.7473148148148148,0.25264403207503894,-0.3581481481481481
XGBoost,2,2,0,0,0.9999786320220517,0.34944444444444445,0.6505341875776073,0.9999572640441035,0.6870833333333334,0.3128739307107701,-0.33763888888888893
XGBoost,3,3,0,0,0.9999588468898537,0.7743518518518518,0.22560699503800186,0.9999897117224634,0.8414814814814815,0.15850823024098193,-0.06712962962962965
XGBoost,4,4,0,0,0.9999176937797074,0.8962037037037037,0.10371399007600368,0.9999897117224634,0.999537037037037,0.0004526746854264241,-0.10333333333333328
XGBoost,5,5,0,0,0.9999393927150043,0.9358888888888889,0.06405050382611543,0.9999595951433362,0.9362222222222222,0.06373737292111403,-0.0003333333333332966
XGBoost,6,6,0,0,0.9999299292285208,0.982713915298185,0.017216013930335783,0.999969969669366,0.4443758488702309,0.5555941207991351,0.538338066427954
XGBoost,7,7,0,0,0.9999286442405708,0.9539300868862396,0.045998557354331226,0.9999388379204893,0.9556476055768842,0.0442912323436051,-0.001717518690644626
XGBoost,8,8,0,0,0.9999592244490204,0.8712121212121212,0.1287471032368992,0.9999592244490204,0.8712121212121212,0.1287471032368992,0.0
XGBoost,9,9,0,0,0.9999796122245102,0.0,0.9999796122245102,0.9999796122245102,0.0048484848484848485,0.9951311273760253,-0.0048484848484848485
XGBoost,10,10,0,0,0.9999206333458998,0.8451388888888889,0.15478174445701087,0.9999702375047124,0.9029166666666667,0.09705357083804567,-0.05777777777777782
XGBoost,11,11,0,0,0.9999404744188816,0.44313289820858215,0.5568075762102994,0.9999702372094408,0.8740452714900708,0.12592496571936995,-0.4309123732814887
LightGBM,1,1,0,0,0.999927982057244,0.28685185185185186,0.7130761302053921,0.9998971172246343,0.7549074074074074,0.2449897098172269,-0.4680555555555555
LightGBM,2,2,0,0,0.9998076881984658,0.3284722222222222,0.6713354659762436,0.9998931601102587,0.7495138888888889,0.2503792712213698,-0.4210416666666667
LightGBM,3,3,0,0,0.9998456758369514,0.9215740740740741,0.07827160176287729,0.9999074055021708,0.8385185185185186,0.16138888698365228,0.08305555555555555
LightGBM,4,4,0,0,0.9998662523920245,0.8656481481481482,0.13421810424387637,0.9998971172246343,0.9997222222222222,0.00017489500241207878,-0.134074074074074
LightGBM,5,5,0,0,0.999828279359179,0.935,0.0648282793591789,0.9998989878583405,0.9236666666666666,0.07623232119167389,0.011333333333333417
LightGBM,6,6,0,0,0.9998698685672529,0.9840721076676133,0.01579776089963958,0.9999299292285208,0.4454870971724904,0.5544428320560304,0.5385850104951229
LightGBM,7,7,0,0,0.9998267074413864,0.9536269953525964,0.046199712088789924,0.9999184505606524,0.9537280258638109,0.04619042469684154,-0.0001010305112144616
LightGBM,8,8,0,0,0.9998572855715713,0.8064646464646464,0.19339263910692484,0.9998572855715713,0.8064646464646464,0.19339263910692484,0.0
LightGBM,9,9,0,0,0.9998470916838264,0.0033333333333333335,0.996513758350493,0.9999286427857856,0.05171717171717172,0.9482114710686139,-0.04838383838383838
LightGBM,10,10,0,0,0.9998115041965119,0.8384722222222222,0.1613392819742897,0.9999404750094248,0.9688888888888889,0.031051586120535934,-0.13041666666666674
LightGBM,11,11,0,0,0.999880948837763,0.44313289820858215,0.5567480506291809,0.9999404744188816,0.8743230106929593,0.1256174637259223,-0.4311901124843771
XGB+LGB_Ensemble,1,1,0,0,0.9999691351673903,0.2861111111111111,0.7138580240562792,0.9999176937797074,0.7484259259259259,0.25149176785378147,-0.46231481481481485
XGB+LGB_Ensemble,2,2,0,0,0.9998931601102587,0.32354166666666667,0.6763514934435921,0.9999465800551294,0.7495138888888889,0.25043269116624045,-0.42597222222222225
XGB+LGB_Ensemble,3,3,0,0,0.9999074055021708,0.9371296296296296,0.06277777587254119,0.9999382703347806,0.8448148148148148,0.15512345551996576,0.09231481481481485
XGB+LGB_Ensemble,4,4,0,0,0.999927982057244,0.8752777777777778,0.12465020427946616,0.9999382703347806,0.9997222222222222,0.00021604811255837575,-0.12444444444444436
XGB+LGB_Ensemble,5,5,0,0,0.9999090890725065,0.9358888888888889,0.06402020018361765,0.9999191902866724,0.9341111111111111,0.06580807917556131,0.001777777777777767
XGB+LGB_Ensemble,6,6,0,0,0.9999399393387322,0.9843190517347821,0.015620887603950084,0.9999499494489434,0.4443758488702309,0.5555741005787125,0.5399432028645512
XGB+LGB_Ensemble,7,7,0,0,0.9999286442405708,0.9538290563750252,0.04609958786554558,0.9999490316004077,0.9549403919983835,0.04500863960202417,-0.0011113356233583005
XGB+LGB_Ensemble,8,8,0,0,0.9999694183367652,0.8424242424242424,0.15754517591252282,0.9999694183367652,0.8424242424242424,0.15754517591252282,0.0
XGB+LGB_Ensemble,9,9,0,0,0.9999388366735306,0.0,0.9999388366735306,0.9999592244490204,0.022222222222222223,0.9777370022267982,-0.022222222222222223
XGB+LGB_Ensemble,10,10,0,0,0.9999206333458998,0.8238888888888889,0.17603174445701086,0.9999503958411873,0.95375,0.04620039584118729,-0.1298611111111111
XGB+LGB_Ensemble,11,11,0,0,0.9999503953490679,0.4439661158172476,0.5559842795318204,0.9999603162792543,0.8741841410915151,0.1257761751877392,-0.4302180252742675
